time,open,high,low,close,Plot,Plot
2013-11-26,829.995,975,825.1,970,649.1027086666667,1
2013-11-27,970,1094.794,914.31556,1080,695.7627086666666,1
2013-11-28,1087.94315,1224.59998,1032.15,1101.47497,740.202374,1
2013-11-29,1101.42,1242,1050,1206.97761,791.7742146666666,1
2013-11-30,1205,1233,1150.25,1205.8,843.2275480000001,1
2013-12-01,1206.00001,1216.9,840.32,1004.42392,879.3891493333333,1
2013-12-02,1005,1117.79999,975,1096.63251,917.2766559999999,1
2013-12-03,1099.9,1185.77338,1065,1155,941.9099846666667,1
2013-12-04,1155,1240,1131.72718,1237.955,981.3925346666666,1
2013-12-05,1230.005,1240,870.001,1106.4345,1012.6215013333333,1
2013-12-06,1106.899,1118.989,800,845,1017.9481673333333,1
2013-12-07,846,895.89,576,696.99999,1010.9481666666667,1
2013-12-08,693.25256,829,653.0001,804.00001,1009.0465673333333,1
2013-12-09,810.98,980.17661,787.75,918.99,1017.3125673333335,1
2013-12-10,915.935,1067.99999,912,1033.975,1030.9109006666667,1
2013-12-11,1026.00001,1056.9,856.123,920,1027.5775673333333,1
2013-12-12,908.00003,941,839.5,899.9999,1015.5775606666667,1
2013-12-13,899.9999,990,882.15864,936.87547,1004.6042606666667,1
2013-12-14,943.39623,948,875.13535,908.98998,984.7384186666667,1
2013-12-15,900.005,928,838.0201,920,965.6850853333333,1
2013-12-16,916,925,714.11,760,949.3901573333334,1
2013-12-17,760,780,678.8904,715,923.94799,1
2013-12-18,715,717.015,455,541.00001,883.0146573333334,1
2013-12-19,541.21,746,522.44,731.98999,849.2836566666666,1
2013-12-20,730,774.47,621.25001,650,818.85469,1
2013-12-21,629.9999,649,568,595.96,802.2520233333333,1
2013-12-22,595.96,674.39,574.0123,629,797.7186906666666,1
2013-12-23,629,670,617.61,657,787.91869,1
2013-12-24,657,665.35,627,650,769.9860233333333,1
2013-12-25,648.22,695,635,690,747.0543566666664,1
2013-12-26,690,764,684.3,760,736.3876899999998,1
2013-12-27,761,761.45,704.0123,715.5201,724.0890366666665,1
2013-12-28,715,740.01,690,713,709.1640053333332,1
2013-12-29,712.1,732,700.0123,728.3,697.1180066666664,1
2013-12-30,726.38,740.62618,724.73,735.82,684.8393399999999,1
2013-12-31,735.82,740,710.02,739.28,683.4580066666664,1
2014-01-01,737.67,757,735,752.98,685.9900066666664,1
2014-01-02,750,800,742.52,786.6,702.3633393333332,1
2014-01-03,786.6,818.99,768,802.49,707.0633399999999,1
2014-01-04,802.4698,842,791.04,839.99,719.7293399999999,1
2014-01-05,839.99,939.8,825,910,740.6653399999998,1
2014-01-06,909.71,995,875.181,925.9999,760.4653333333331,1
2014-01-07,925,943.15,765,799,769.9319999999997,1
2014-01-08,799,849,779.59,826.01,781.6659999999997,1
2014-01-09,827.8,846.35,779.99,824.85,790.6559999999997,1
2014-01-10,822.16,860.64,799.98,854.33,796.9446666666664,1
2014-01-11,853.1,915,853,899,809.1766599999997,1
2014-01-12,898.68,902,821.1,827.24,816.7926599999998,1
2014-01-13,827.24,844.2,784,817.9,822.7659933333331,1
2014-01-14,817.74,836.99,802.3,818.9999,828.3113199999997,1
2014-01-15,819,850.25,812,844,835.2926533333332,1
2014-01-16,845,847.68,807.11,818.49,839.6599866666663,1
2014-01-17,818.39,820.22,765.03,807,841.0199866666665,1
2014-01-18,804.98,820,794.93,809.14,841.4633199999997,1
2014-01-19,807.22,844.88,794.41,835.9,841.1906533333331,1
2014-01-20,836,844.99,815.01,828,835.7239866666664,1
2014-01-21,828,834.17,813.6,822.8,828.8439933333332,1
2014-01-22,822.8,824.13,803.1,818,830.1106599999998,1
2014-01-23,818.51,823,802.52,810.14,829.0526599999997,1
2014-01-24,806.97,809.14,767.23,775.0123,825.7301466666664,1
2014-01-25,775.0123,817,775,804.73,822.4234799999997,1
2014-01-26,805.5,836.7318,794.64,812.5,816.656813333333,1
2014-01-27,812.7,824.9999,726.5,749.03,811.442813333333,1
2014-01-28,748.1,814.5,741.214,784.69,809.228813333333,1
2014-01-29,784.42,805,781.8,794.731,807.6108866666665,1
2014-01-30,794.74,812.65489,770,803.0101,804.8782266666664,1
2014-01-31,802.5,809.6746,793,805.22,803.9935599999997,1
2014-02-01,804.8,829,801,812.6,804.3668933333331,1
2014-02-02,812.6,827.2,811,814,804.690893333333,1
2014-02-03,812.05,815.2,798.5,805.31499,802.6518926666664,1
2014-02-04,805.31499,814.4,795.2,800.01,800.7858926666664,1
2014-02-05,800.03,807.48,777.85,780,797.9325593333331,1
2014-02-06,784,829,678.03,761,794.1325593333331,1
2014-02-07,760.61,763.07,620,700.5,786.8232259999999,1
2014-02-08,707.8,723.97,667,678,780.3557393333332,1
2014-02-09,678,728.8993498,666.53,694,772.973739333333,1
2014-02-10,693.5,703,450.13,687.05035,764.6104293333331,1
2014-02-11,689.13,721.35,631.2,678,759.8750959999998,1
2014-02-12,675.31,682.5,642,656.01,751.2964293333331,1
2014-02-13,656.01,658.9899,601.2,606.01,738.7150293333331,1
2014-02-14,607,710,535,661.13,729.2563559999998,1
2014-02-15,661.13,668.4,633.3,654.99,719.2410226666665,1
2014-02-16,652.5,670.9999,585,625,706.7343559999997,1
2014-02-17,625,664,611,633.99,694.733689333333,1
2014-02-18,633.51,651.3,611.304999,628.1999,682.9260166666663,1
2014-02-19,625.81,636.85,617.89,627.45,671.4220166666663,1
2014-02-20,627.45,629,541.2,542.42,655.5833499999997,1
2014-02-21,542.42,588.489697,530,579.98,643.5153499999998,1
2014-02-22,579.9,619,562,614.389,637.7746166666664,1
2014-02-23,614.389,644.93,600.2,607,633.0412833333332,1
2014-02-24,606.9999,608.4,505.7511,517.87,621.2992833333332,1
2014-02-25,519,549,400,544.24,611.7785933333331,1
2014-02-26,542.01,609,541,597.6001,606.4185999999997,1
2014-02-27,597.7001,599,568.75,584.3339,601.6401933333332,1
2014-02-28,585.2928,591.18,540.2044,549.995,597.9058599999997,1
2014-03-01,549.01,577.25,541.1,570,591.8305266666665,1
2014-03-02,569.31874,572.24,555.161,565.37191,585.8559873333331,1
2014-03-03,566,719.25,563,680.98,589.5879873333332,1
2014-03-04,680.98,703.85,658.5,672,592.1219873333332,1
2014-03-05,673.26,678.9999,651.21,669.61,594.8826606666665,1
2014-03-06,669.61,676.43,648.7,668,597.5859939999998,1
2014-03-07,667,669,616.23,631.01,603.4919939999999,1
2014-03-08,633,639.999,600.6,616.8001,605.9466673333332,1
2014-03-09,616.9,654.999,610.25,638.5,607.5540673333331,1
2014-03-10,638.52,648.3,606,626.9801,608.8860739999999,1
2014-03-11,626.9801,641.9999,615.31,634.01,616.6287406666665,1
2014-03-12,634.0001,654,631,636.2296,622.7613806666666,1
2014-03-13,636.10235,648,634.5001,644.18,625.8667073333332,1
2014-03-14,643.1,645,623.5,627.98,628.7764473333332,1
2014-03-15,628.89,639.8899,626.3,635.45,634.4734473333333,1
2014-03-16,635.45,638,628.5801,633,638.6734473333331,1
2014-03-17,632,632.5,619.2,623.8,642.5686533333331,1
2014-03-18,623.8,623.8,600,615.5999,638.2099799999999,1
2014-03-19,615.5999,622.2,605.9841,609,634.0099799999997,1
2014-03-20,608.9841,609,584,586.5551,628.4729866666664,1
2014-03-21,588.8294,605.96,555.5,570.9999,622.0063133333331,1
2014-03-22,570.9898,574.24,550.09,563,617.4723133333331,1
2014-03-23,563,571,555,558,613.5523066666664,1
2014-03-24,557.8884,590,550.5,585.6587,610.0295533333331,1
2014-03-25,584.9899,586,568.55,583.9899,607.1635399999997,1
2014-03-26,583.89,593.25,566.51,576.6,603.3362066666664,1
2014-03-27,577.9999,579.4799,465,474,592.5208999999996,1
2014-03-28,475,533.36,470,502.25,583.0588999999997,1
2014-03-29,502.4996,507.99,485.45,492.4398,574.0228866666663,1
2014-03-30,490.01,491.9999,436.2,460.9999,562.3928799999996,1
2014-03-31,460.6,488,436.1,456.9899,550.658873333333,1
2014-04-01,456.3,513.9,453.4,479.9181,541.0667466666663,1
2014-04-02,477.53,496.2,431.2,437.2203,529.174773333333,1
2014-04-03,436.5301,463,415.46,447.9999,518.441433333333,1
2014-04-04,447.1161,458.5899,430.2,447.0211,509.13916666666614,1
2014-04-05,448.001,464.5,444.395,463.99,502.00517333333283,1
