time,open,high,low,close
2020-04-10,0.21464622,1.33977149,0.21379166,0.94799898
2020-04-11,0.94799013,1.06113905,0.76209019,0.78910001
2020-04-12,0.78971624,0.96527343,0.75933626,0.87892628
2020-04-13,0.88207168,0.88553156,0.7693592,0.78064123
2020-04-14,0.77938463,0.80145534,0.62663956,0.66705785
2020-04-15,0.66766919,0.707616,0.61554,0.63753412
2020-04-16,0.63642168,0.77855629,0.61656879,0.69192573
2020-04-17,0.69132205,0.71765919,0.65483831,0.65554616
2020-04-18,0.6556249,0.72441949,0.65467814,0.67886952
2020-04-19,0.67900624,0.68061202,0.59590603,0.60443362
2020-04-20,0.6043909,0.63854448,0.51689812,0.53196994
2020-04-21,0.53168763,0.59910202,0.50512825,0.57855926
2020-04-22,0.5772643,0.709673,0.56824493,0.69422912
2020-04-23,0.69423861,0.69999292,0.59628354,0.63258553
2020-04-24,0.63442007,0.6689353,0.60553432,0.62550629
2020-04-25,0.62769496,0.67058071,0.61633679,0.64643812
2020-04-26,0.64656616,0.68772632,0.62255922,0.63720312
2020-04-27,0.6374581,0.65650446,0.55947271,0.57044329
2020-04-28,0.57378552,0.7021536,0.567572,0.65728362
2020-04-29,0.65904741,0.78641671,0.64927984,0.7473055
2020-04-30,0.74683972,0.80307625,0.67481626,0.69152859
2020-05-01,0.69123911,0.74066958,0.67931494,0.72390555
2020-05-02,0.72422969,0.74550145,0.70024833,0.71302033
2020-05-03,0.71173961,0.72871703,0.65270656,0.68211504
2020-05-04,0.6825065,0.70525859,0.61265713,0.66633563
2020-05-05,0.66776129,0.68536534,0.62595315,0.64762578
2020-05-06,0.64755528,0.67199999,0.60989824,0.61851072
2020-05-07,0.61858637,0.63719437,0.56326497,0.60864923
2020-05-08,0.60705841,0.63438152,0.58669877,0.60379313
2020-05-09,0.60498766,0.62628207,0.58819104,0.60290148
2020-05-10,0.60164627,0.61052754,0.50758118,0.5408412
2020-05-11,0.54086656,0.56895099,0.50219118,0.5158431
2020-05-12,0.51587755,0.56088617,0.50623079,0.53672195
2020-05-13,0.53622864,0.56673463,0.51863507,0.55348495
2020-05-14,0.55372912,0.58604025,0.54930047,0.57135826
2020-05-15,0.57238123,0.57600217,0.54168954,0.55708566
2020-05-16,0.55707255,0.60751903,0.55271897,0.59964891
2020-05-17,0.59749613,0.64102353,0.59055146,0.61389651
2020-05-18,0.61480065,0.67818267,0.6087463,0.65331708
2020-05-19,0.6538565,0.65440586,0.60831232,0.62272435
2020-05-20,0.62631248,0.62708336,0.5718749,0.5815086
2020-05-21,0.58134065,0.61226673,0.54256398,0.60700024
2020-05-22,0.60662324,0.68053883,0.57766286,0.63649115
2020-05-23,0.63650677,0.63874811,0.58748325,0.60714569
2020-05-24,0.6073296,0.60825832,0.54279858,0.54719613
2020-05-25,0.54629601,0.65909229,0.53913388,0.59515944
