time,open,high,low,close,Volume
2023-05-18,1.17,1.17,1.1279,1.1416,212408.9
2023-05-19,1.1423,1.1589,1.1184,1.132,204390.6
2023-05-20,1.1316,1.1348,1.1117,1.1249,154823.5
2023-05-21,1.1239,1.1524,1.0577,1.0748,215174.4
2023-05-22,1.0737,1.078,1.0362,1.051,228423.8
2023-05-23,1.0506,1.1151,1.0258,1.0536,442140.1
2023-05-24,1.0539,1.0539,0.9173,0.9803,583161.5
2023-05-25,0.9826,1.0103,0.9387,0.9834,195540.9
2023-05-26,0.9844,1.0095,0.9653,0.9909,199666.5
2023-05-27,0.9908,1.0159,0.9838,1.0001,143889
2023-05-28,0.997,1.0715,0.994,1.0623,508247
2023-05-29,1.0636,1.0998,1.0255,1.0407,1271114.4
2023-05-30,1.0443,1.0632,0.9989,1.0019,1127964.1
2023-05-31,1.0011,1.01,0.945,0.9741,671833.9
2023-06-01,0.9754,0.9794,0.9407,0.944,343720.3
2023-06-02,0.9464,0.9619,0.9075,0.9408,984105.2
2023-06-03,0.9406,0.9504,0.9092,0.9308,312872.3
2023-06-04,0.9316,0.9777,0.9278,0.96,337348.6
2023-06-05,0.9599,0.9697,0.7509,0.8184,1906330.1
2023-06-06,0.8179,0.8494,0.7559,0.8276,1212224.9
2023-06-07,0.8258,0.8291,0.735,0.7576,675572
2023-06-08,0.7575,0.7933,0.7159,0.7288,860577.5
2023-06-09,0.73,0.763,0.7118,0.7389,603709.4
2023-06-10,0.7396,0.7404,0.51,0.6121,2263347.8
2023-06-11,0.6099,0.6244,0.5879,0.605,856480.5
2023-06-12,0.6057,0.6885,0.57,0.6622,1168800.1
2023-06-13,0.6625,0.7299,0.6619,0.6979,2029534.5
2023-06-14,0.6977,0.7115,0.6297,0.6503,1058621.5
2023-06-15,0.6489,0.6586,0.6187,0.6482,568187.6
2023-06-16,0.6464,0.7271,0.6237,0.7055,1186304.3
2023-06-17,0.705,0.7796,0.7049,0.7504,2129107.2
2023-06-18,0.751,0.7954,0.714,0.7177,857639.9
2023-06-19,0.7218,0.7924,0.7099,0.7827,872577.2
2023-06-20,0.784,0.8279,0.75,0.8167,2234072
2023-06-21,0.8158,0.85,0.7694,0.8309,2880040.5
2023-06-22,0.8305,0.8907,0.7925,0.8087,2389172
2023-06-23,0.8098,0.8349,0.7767,0.7986,1959268.8
2023-06-24,0.798,0.798,0.7263,0.7535,1038801.9
2023-06-25,0.7549,0.78,0.7411,0.745,736285.1
2023-06-26,0.743,0.7588,0.7124,0.7255,538637.2
2023-06-27,0.7246,0.7569,0.7023,0.7196,1073790.6
2023-06-28,0.7178,0.7191,0.6377,0.6638,1142058.4
2023-06-29,0.6633,0.7283,0.6609,0.6798,2291090.4
2023-06-30,0.6803,0.7116,0.6278,0.6889,2109379.5
2023-07-01,0.6883,0.6889,0.6673,0.6888,487651.4
2023-07-02,0.6875,0.6932,0.6611,0.6918,685938.2
2023-07-03,0.6887,0.7167,0.6856,0.7,2100008.9
2023-07-04,0.6961,0.7367,0.6813,0.6877,1221528.8
2023-07-05,0.688,0.6901,0.6461,0.6611,774025.3
2023-07-06,0.6613,0.681,0.6347,0.6479,630668.7
2023-07-07,0.6494,0.6673,0.6412,0.6608,515677
2023-07-08,0.6611,0.6675,0.642,0.6526,247807.3
2023-07-09,0.6518,0.6655,0.6511,0.6568,198813.5
2023-07-10,0.6568,0.666,0.6292,0.6565,690389.7
2023-07-11,0.654,0.6688,0.6442,0.656,409340.4
2023-07-12,0.6569,0.6865,0.646,0.656,687837.5
2023-07-13,0.6563,0.7333,0.6494,0.6984,1922164.2
2023-07-14,0.7002,0.7778,0.6586,0.6806,3180409.4
2023-07-15,0.6807,0.6978,0.668,0.6838,287472.7
2023-07-16,0.6852,0.6938,0.6631,0.672,455412.5
2023-07-17,0.669,0.7311,0.6666,0.7203,1235205.8
2023-07-18,0.7255,0.8056,0.707,0.7364,5213383.6
2023-07-19,0.7364,0.775,0.7028,0.7103,2441326.2
2023-07-20,0.7095,0.7278,0.6813,0.6887,1893481.5
2023-07-21,0.6888,0.74,0.6721,0.6839,1212543.2
2023-07-22,0.6839,0.7047,0.6827,0.6945,340859
2023-07-23,0.6989,0.7027,0.6737,0.681,398013.2
2023-07-24,0.6797,0.6807,0.6084,0.6368,893519
2023-07-25,0.6373,0.6512,0.6267,0.6388,429149.3
2023-07-26,0.6333,0.6437,0.6167,0.6354,1897567.9
2023-07-27,0.6317,0.6502,0.6255,0.6304,519431.4
2023-07-28,0.6307,0.6425,0.6251,0.6284,242427.6
2023-07-29,0.6287,0.6412,0.6259,0.6389,174423.9
2023-07-30,0.6385,0.6394,0.5985,0.6208,434802.4
2023-07-31,0.6195,0.6345,0.6136,0.6323,320404
2023-08-01,0.6312,0.6471,0.61,0.647,442056.5
2023-08-02,0.647,0.6498,0.6078,0.6147,645827.9
2023-08-03,0.6138,0.6193,0.585,0.5927,856769.9
